む,むらさめの つゆもまだひぬ まきのはに,きりたちのほるあきのゆふくれ
す,すみのえの きしによるなみ よるさえや,ゆめのかよひちひとめよくらむ
め,めぐりあいて みしやそれとも わかぬまに,くもかくれにしよはのつきかな
ふ,ふくからに あきのくさきの しおるれば,むへやまかせをあらしといふらむ
さ,さびしさに やどをたちいでて ながむれば,いつこもおなしあきのゆふくれ
ほ,ほととぎす なきつるかたを ながむれば,たたありあけのつきそのこれる
せ,せをはやみ いわにせかるる たきがわの,われてもすゑにあはむとそおもふ
うか,うかりける ひとをはつせの やまおろし,はけしかれとはいのらぬものを
うら,うらみわび ほさぬそでだに あるものを,こひにくちなむなこそをしけれ
つき,つきみれば ちぢにものこそ かなしけれ,わかみひとつのあきにはあらねと
つく,つくばねの みねよりおつる みなのがわ,こひそつもりてふちとなりぬる
しの,しのぶれど いろにいでにけり わがこいは,ものやおもふとひとのとふまて
しら,しらつゆに かぜのふきしく あきののは,つらぬきとめぬたまそちりける
もも,ももしきや ふるきのきばの しのぶにも,なほあまりあるむかしなりけり
もろ,もろともに あわれとおもえ やまざくら,はなよりほかにしるひともなし
ゆう,ゆうされば かどたのいなば おとずれて,あしのまろやにあきかせそふく
ゆら,ゆらのとを わたるふなびと かじをたえ,ゆくへもしらぬこひのみちかな
いに,いにしえの ならのみやこの やえざくら,けふここのへににほひぬるかな
いまこ,いまこんと いいしばかりに ながつきの,ありあけのつきをまちいてつるかな
いまは,いまはただ おもいたえなんと ばかりを,ひとつてならていふよしもかな
ちぎりお,ちぎりおきし させもがつゆを いのちにて,あはれことしのあきもいぬめり
ちぎりき,ちぎりきな かたみにそでを しぼりつつ,すゑのまつやまなみこさしとは
ちは,ちはやぶる かみよもきかず たつたがわ,からくれなゐにみつくくるとは
ひさ,ひさかたの ひかりのどけき はるのひに,しつこころなくはなのちるらむ
ひとは,ひとはいさ こころもしらず ふるさとは,はなそむかしのかににほひける
ひとも,ひともおし ひともうらめし あじきなく,よをおもふゆゑにものおもふみは
きみがため,きみがためお しからざりし いのちさえ,なかくもかなとおもひけるかな
きみがため,きみがためは るののにいでて わかなつむ,わかころもてにゆきはふりつつ
